signal_prior,posterior_prior
-65.573783,-21.026514
-36.910372,-19.778819
-27.665838,-22.572614
-23.104622,-15.657227
-16.743765,-17.037988
-10.883401,-7.5495238
-6.9698718,-6.7286447
-4.4590859,-5.7667958
-3,-7.9553156
-2.0017678,-4.8284572
-1,-8.3386371
0,-14.33367
.99979908,3.2481414
2.7981396,-5.12146
7.7342375,-7.6764418
13.417586,-3.3898694
17.185131,1.1890799
19,-2.739726
19.985612,4.9915701
21.565768,2.7558892
23,-1.5855512
24,-1.8808527
25,-4.2376845
25.997596,-1.1855748
27,-1.7846768
28.294534,3.0925449
30.5,9.297619
33.099573,1.6669308
36.210829,2.1751782
37.994268,5.5623976
38.996334,4.8980499
40.909614,4.7514167
43.917141,3.5036867
46.433834,6.4593653
48.451032,7.386974
51.333498,15.488636
62.07743,24.689532
72.502141,29.082078
89.018723,33.970185
