signal_prior,posterior_prior
-68.229167,-39.9375
-43.207207,-30.495495
-30.105263,-9.3289474
-25.163462,-16.221154
-19.779412,-21.779412
-12.362745,-5.1666667
-6.957265,-8.042735
-4.4788732,-4.7323944
-3,-7.7692308
-2,-.35915493
-1,-6.3860759
.37647059,-2.6235294
2.3146067,4.8539326
5.5625,-11.9375
12.431579,3.3052632
17.20202,3.8484848
19.52459,-.43442623
21,1.9666667
22,7.4
23,4.1359223
24,4.7666667
25,5.3018868
26,.53571429
27,1.5051546
28,-1.2295082
29,6.3875
31.365385,1.5192308
34.981982,10.684685
37.559322,13.466102
39,10.906977
40.628571,18.8
42.446154,7.2615385
44.87069,17.568966
47.669565,16.782609
49,7.0181818
52.2,17.571429
62.978261,33.554348
72.011236,37.483146
92.758621,33.747126
