signal_prior,posterior_prior
-68.280702,-27.964912
-46.214286,-43.785714
-30.62963,-15.592593
-26.571429,-21.547619
-19.608696,-18.326087
-10.510204,-7.4285714
-6.5833333,-5.6166667
-4.5675676,-5.3513514
-2.3217391,-9.826087
-1,-1.75
.98412698,9.6031746
3.3448276,2.7241379
9.0454545,-13.878788
14.702703,6.3243243
17.761905,5.3095238
19.338028,1.2112676
21,1.125
22,8.7931034
23,4.7173913
24,6.6987952
25,2.4864865
26,1.6
27.358209,1.6865672
29,2.0645161
32.061538,4.1846154
35.615385,18.5
37.507042,13.366197
39,9.04
40.641026,17.205128
43.145455,13.545455
45.730769,23.576923
48.283784,12.959459
50.347826,11
55.980769,26.538462
65.5,41.818182
73.382979,38.234043
93.5625,25.395833
